noise_strength,eve_rate,qber_mean
0.0000,0.0000,0.000000
0.0000,0.0150,0.003976
0.0000,0.0300,0.009545
0.0000,0.0450,0.013504
0.0000,0.0600,0.013281
0.0000,0.0750,0.015693
0.0000,0.0900,0.020636
0.0000,0.1050,0.024971
0.0000,0.1200,0.025662
0.0000,0.1350,0.037594
0.0000,0.1500,0.035508
0.0000,0.1650,0.040724
0.0000,0.1800,0.047537
0.0000,0.1950,0.045825
0.0000,0.2100,0.049848
0.0000,0.2250,0.050585
0.0000,0.2400,0.059994
0.0000,0.2550,0.070554
0.0000,0.2700,0.061448
0.0000,0.2850,0.073675
0.0000,0.3000,0.068693
0.0000,0.3150,0.083057
0.0000,0.3300,0.077291
0.0000,0.3450,0.084883
0.0000,0.3600,0.079827
0.0000,0.3750,0.100849
0.0000,0.3900,0.101737
0.0000,0.4050,0.099363
0.0000,0.4200,0.102000
0.0000,0.4350,0.106795
0.0000,0.4500,0.111959
0.0000,0.4650,0.115250
0.0000,0.4800,0.121681
0.0000,0.4950,0.129639
0.0000,0.5100,0.127306
0.0000,0.5250,0.133729
0.0000,0.5400,0.136690
0.0000,0.5550,0.136248
0.0000,0.5700,0.133709
0.0000,0.5850,0.142729
0.0000,0.6000,0.146702
0.0100,0.0000,0.004189
0.0100,0.0150,0.008323
0.0100,0.0300,0.012295
0.0100,0.0450,0.015964
0.0100,0.0600,0.020306
0.0100,0.0750,0.024632
0.0100,0.0900,0.029548
0.0100,0.1050,0.028110
0.0100,0.1200,0.031488
0.0100,0.1350,0.036882
0.0100,0.1500,0.040109
0.0100,0.1650,0.050316
0.0100,0.1800,0.049177
0.0100,0.1950,0.052163
0.0100,0.2100,0.054268
0.0100,0.2250,0.059322
0.0100,0.2400,0.073442
0.0100,0.2550,0.062443
0.0100,0.2700,0.067536
0.0100,0.2850,0.067606
0.0100,0.3000,0.087063
0.0100,0.3150,0.087706
0.0100,0.3300,0.085862
0.0100,0.3450,0.090406
0.0100,0.3600,0.092641
0.0100,0.3750,0.092317
0.0100,0.3900,0.104696
0.0100,0.4050,0.105364
0.0100,0.4200,0.111371
0.0100,0.4350,0.114592
0.0100,0.4500,0.120170
0.0100,0.4650,0.121668
0.0100,0.4800,0.123353
0.0100,0.4950,0.121081
0.0100,0.5100,0.127283
0.0100,0.5250,0.125515
0.0100,0.5400,0.132693
0.0100,0.5550,0.143825
0.0100,0.5700,0.141725
0.0100,0.5850,0.148864
0.0100,0.6000,0.153139
0.0200,0.0000,0.007443
0.0200,0.0150,0.013657
0.0200,0.0300,0.014521
0.0200,0.0450,0.022688
0.0200,0.0600,0.023320
0.0200,0.0750,0.029287
0.0200,0.0900,0.031527
0.0200,0.1050,0.034735
0.0200,0.1200,0.039746
0.0200,0.1350,0.039152
0.0200,0.1500,0.046439
0.0200,0.1650,0.054107
0.0200,0.1800,0.052115
0.0200,0.1950,0.055451
0.0200,0.2100,0.056702
0.0200,0.2250,0.061930
0.0200,0.2400,0.071696
0.0200,0.2550,0.074199
0.0200,0.2700,0.076101
0.0200,0.2850,0.078550
0.0200,0.3000,0.082212
0.0200,0.3150,0.084221
0.0200,0.3300,0.101099
0.0200,0.3450,0.100193
0.0200,0.3600,0.094626
0.0200,0.3750,0.100243
0.0200,0.3900,0.110005
0.0200,0.4050,0.120122
0.0200,0.4200,0.111894
0.0200,0.4350,0.122915
0.0200,0.4500,0.120828
0.0200,0.4650,0.123482
0.0200,0.4800,0.125399
0.0200,0.4950,0.133433
0.0200,0.5100,0.138254
0.0200,0.5250,0.138167
0.0200,0.5400,0.143655
0.0200,0.5550,0.148381
0.0200,0.5700,0.147452
0.0200,0.5850,0.165316
0.0200,0.6000,0.155394
0.0300,0.0000,0.016661
0.0300,0.0150,0.018076
0.0300,0.0300,0.023141
0.0300,0.0450,0.028316
