noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0100,0.0750,0.048685,0.178855,0.151258,0.043258
0.0100,0.0825,0.045428,0.189952,0.155632,0.040031
0.0100,0.0900,0.055670,0.175413,0.171378,0.031607
0.0100,0.0975,0.056241,0.177169,0.176958,0.019305
0.0100,0.1050,0.055602,0.174389,0.170405,0.023212
0.0100,0.1125,0.066445,0.165624,0.187971,0.016358
0.0100,0.1200,0.068181,0.161949,0.187875,0.011933
0.0100,0.1275,0.070534,0.159441,0.191376,0.015637
0.0100,0.1350,0.075207,0.159989,0.206975,0.004055
0.0100,0.1425,0.086624,0.143244,0.210631,0.006398
0.0100,0.1500,0.070144,0.158378,0.189739,0.011050
0.0100,0.1575,0.077665,0.150311,0.201150,0.002878
0.0100,0.1650,0.081661,0.146833,0.202249,0.007029
0.0100,0.1725,0.087989,0.143864,0.213848,0.003283
0.0100,0.1800,0.099143,0.135533,0.230862,0.000000
0.0100,0.1875,0.096791,0.134687,0.218440,0.001920
0.0100,0.1950,0.102579,0.135660,0.228512,0.003334
0.0100,0.2025,0.105102,0.129547,0.227431,0.003179
0.0100,0.2100,0.113020,0.123757,0.231935,0.000000
0.0100,0.2175,0.116344,0.123244,0.235490,0.000000
0.0100,0.2250,0.134787,0.107473,0.229080,0.000000
0.0100,0.2325,0.121348,0.116986,0.241108,0.000000
0.0100,0.2400,0.127924,0.118739,0.254116,0.000000
0.0100,0.2475,0.123849,0.116634,0.234845,0.002209
0.0100,0.2550,0.131967,0.113898,0.253978,0.000000
0.0100,0.2625,0.128339,0.113540,0.241252,0.000456
0.0100,0.2700,0.141232,0.104666,0.246728,0.000000
0.0100,0.2775,0.154372,0.099520,0.245081,0.000000
0.0100,0.2850,0.168870,0.088039,0.237611,0.000000
0.0100,0.2925,0.152534,0.098541,0.235778,0.000000
0.0100,0.3000,0.145500,0.104275,0.241006,0.000000
0.0150,0.0000,0.013991,0.231291,0.067288,0.164002
0.0150,0.0075,0.017507,0.222230,0.076742,0.145488
0.0150,0.0150,0.023429,0.212536,0.095877,0.116659
0.0150,0.0225,0.023788,0.210466,0.098647,0.111820
0.0150,0.0300,0.028595,0.201530,0.110038,0.091984
0.0150,0.0375,0.032255,0.199583,0.120463,0.080593
0.0150,0.0450,0.030869,0.209263,0.119100,0.090293
0.0150,0.0525,0.034363,0.201968,0.130771,0.072453
0.0150,0.0600,0.042901,0.186715,0.145989,0.046164
0.0150,0.0675,0.048281,0.180672,0.157890,0.032903
0.0150,0.0750,0.048439,0.185812,0.163587,0.029745
0.0150,0.0825,0.050843,0.182075,0.162868,0.035969
0.0150,0.0900,0.053650,0.185397,0.172918,0.030797
0.0150,0.0975,0.056533,0.179361,0.173295,0.034219
0.0150,0.1050,0.061717,0.168830,0.183301,0.015088
0.0150,0.1125,0.069632,0.164026,0.197430,0.009441
0.0150,0.1200,0.069720,0.160684,0.195369,0.007582
0.0150,0.1275,0.077383,0.156263,0.202220,0.010091
0.0150,0.1350,0.077353,0.154683,0.202325,0.007908
0.0150,0.1425,0.092899,0.139284,0.215213,0.001376
0.0150,0.1500,0.087256,0.149278,0.223984,0.003449
0.0150,0.1575,0.088403,0.143030,0.212605,0.004205
0.0150,0.1650,0.092245,0.140305,0.220845,0.000808
0.0150,0.1725,0.099785,0.134808,0.223224,0.002194
0.0150,0.1800,0.091587,0.143506,0.221983,0.001322
0.0150,0.1875,0.104904,0.133380,0.235781,0.000000
0.0150,0.1950,0.105342,0.133780,0.231910,0.001557
0.0150,0.2025,0.114878,0.122541,0.234578,0.000651
0.0150,0.2100,0.122392,0.119296,0.235108,0.000181
0.0150,0.2175,0.124235,0.116949,0.236594,0.000000
0.0150,0.2250,0.116638,0.121445,0.239416,0.000000
0.0150,0.2325,0.130678,0.114031,0.250949,0.000000
0.0150,0.2400,0.132584,0.110356,0.240539,0.000000
0.0150,0.2475,0.139350,0.106222,0.244579,0.000000
0.0150,0.2550,0.135799,0.110003,0.243583,0.000000
0.0150,0.2625,0.144952,0.101694,0.240481,0.000000
0.0150,0.2700,0.144908,0.103652,0.248817,0.000000
0.0150,0.2775,0.142485,0.104754,0.241373,0.000000
0.0150,0.2850,0.161237,0.094501,0.243578,0.000000
0.0150,0.2925,0.154149,0.097577,0.247018,0.000000
0.0150,0.3000,0.174392,0.086162,0.234287,0.000000
0.0200,0.0000,0.017096,0.220954,0.074196,0.146758
0.0200,0.0075,0.022018,0.217293,0.094967,0.122326
0.0200,0.0150,0.023110,0.216889,0.093855,0.123048
0.0200,0.0225,0.033220,0.202924,0.126318,0.078628
0.0200,0.0300,0.032966,0.202453,0.121950,0.082918
0.0200,0.0375,0.036166,0.203839,0.136802,0.070495
0.0200,0.0450,0.047393,0.186041,0.155254,0.044753
0.0200,0.0525,0.043882,0.190556,0.144699,0.056415
0.0200,0.0600,0.049801,0.186067,0.163440,0.037098
0.0200,0.0675,0.049758,0.189572,0.167605,0.034328
0.0200,0.0750,0.054843,0.181669,0.172411,0.033013
0.0200,0.0825,0.057974,0.175409,0.177062,0.021741
0.0200,0.0900,0.069530,0.166746,0.195937,0.011010
0.0200,0.0975,0.066888,0.163884,0.189458,0.010404
0.0200,0.1050,0.074321,0.160732,0.208450,0.002678
0.0200,0.1125,0.071738,0.164971,0.199631,0.011367
0.0200,0.1200,0.073835,0.154814,0.193288,0.008880
0.0200,0.1275,0.076122,0.158308,0.208592,0.004309
0.0200,0.1350,0.081994,0.153396,0.215843,0.002705
0.0200,0.1425,0.093046,0.140123,0.218660,0.003318
0.0200,0.1500,0.080572,0.150235,0.206124,0.001672
0.0200,0.1575,0.093866,0.140711,0.221206,0.000618
0.0200,0.1650,0.094594,0.139410,0.218182,0.002042
0.0200,0.1725,0.112059,0.129878,0.243704,0.001390
0.0200,0.1800,0.105880,0.132454,0.238198,0.000000
0.0200,0.1875,0.105190,0.130773,0.230856,0.000000
0.0200,0.1950,0.120805,0.119937,0.240643,0.000000
0.0200,0.2025,0.113772,0.125275,0.235586,0.001777
0.0200,0.2100,0.118578,0.125470,0.240576,0.000000
0.0200,0.2175,0.121830,0.120906,0.237715,0.000000
0.0200,0.2250,0.142821,0.104943,0.243681,0.000000
0.0200,0.2325,0.129247,0.116128,0.250937,0.000000
0.0200,0.2400,0.131324,0.113791,0.244520,0.000000
0.0200,0.2475,0.141168,0.101069,0.234542,0.000000
0.0200,0.2550,0.143182,0.101175,0.243794,0.000000
0.0200,0.2625,0.148509,0.102166,0.252986,0.000000
0.0200,0.2700,0.152156,0.100792,0.252735,0.000000
0.0200,0.2775,0.150301,0.098990,0.236365,0.000000
0.0200,0.2850,0.162956,0.093956,0.241188,0.000000
0.0200,0.2925,0.141312,0.107396,0.252316,0.000000
0.0200,0.3000,0.163458,0.091852,0.245542,0.000000
0.0250,0.0000,0.019673,0.224719,0.083165,0.141554
0.0250,0.0075,0.029913,0.211817,0.117560,0.094256
0.0250,0.0150,0.033582,0.207050,0.129083,0.078400
0.0250,0.0225,0.041269,0.192485,0.145387,0.051811
0.0250,0.0300,0.042616,0.190232,0.148780,0.044600
0.0250,0.0375,0.037335,0.195863,0.135665,0.063595
0.0250,0.0450,0.042983,0.192491,0.150661,0.045900
0.0250,0.0525,0.049511,0.185966,0.160917,0.040186
0.0250,0.0600,0.052016,0.182062,0.165464,0.036897
0.0250,0.0675,0.054493,0.179560,0.173515,0.023889
0.0250,0.0750,0.063420,0.173079,0.189820,0.013910
0.0250,0.0825,0.060094,0.173132,0.183756,0.017631
0.0250,0.0900,0.064243,0.165487,0.187113,0.008987
0.0250,0.0975,0.071174,0.161069,0.197972,0.004585
0.0250,0.1050,0.081245,0.155640,0.219975,0.000000
0.0250,0.1125,0.080835,0.155248,0.217809,0.001955
0.0250,0.1200,0.082324,0.154224,0.216001,0.000783
0.0250,0.1275,0.085983,0.147434,0.215905,0.003811
0.0250,0.1350,0.090784,0.145657,0.229307,0.000000
0.0250,0.1425,0.091714,0.144442,0.223581,0.000118
0.0250,0.1500,0.103303,0.134207,0.234707,0.000000
0.0250,0.1575,0.104003,0.136893,0.238629,0.000000
0.0250,0.1650,0.096056,0.139238,0.224291,0.001777
0.0250,0.1725,0.111389,0.126828,0.233570,0.000000
0.0250,0.1800,0.108356,0.130159,0.237527,0.000000
0.0250,0.1875,0.116593,0.122825,0.240253,0.000000
0.0250,0.1950,0.119217,0.120216,0.234634,0.000000
0.0250,0.2025,0.119370,0.118886,0.240659,0.000000
