noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0060,0.3750,0.100497,0.266898,0.234152,0.045598
0.0060,0.3857,0.101341,0.264132,0.234768,0.041078
0.0060,0.3964,0.098793,0.268880,0.232020,0.042745
0.0060,0.4071,0.104704,0.260026,0.240374,0.037244
0.0060,0.4179,0.105802,0.258657,0.243293,0.031602
0.0060,0.4286,0.110004,0.252586,0.248964,0.028530
0.0060,0.4393,0.111614,0.249069,0.250431,0.022612
0.0060,0.4500,0.115417,0.241643,0.254607,0.015791
0.0060,0.4607,0.118706,0.240559,0.264041,0.012897
0.0060,0.4714,0.122160,0.231381,0.264069,0.011993
0.0060,0.4821,0.127494,0.225187,0.272163,0.008868
0.0060,0.4929,0.127316,0.228847,0.276203,0.008765
0.0060,0.5036,0.129521,0.222512,0.276388,0.006060
0.0060,0.5143,0.131839,0.218730,0.277820,0.006790
0.0060,0.5250,0.130102,0.223375,0.276725,0.007699
0.0060,0.5357,0.134256,0.217137,0.283313,0.004221
0.0060,0.5464,0.137477,0.211082,0.286718,0.000944
0.0060,0.5571,0.137696,0.211691,0.285859,0.003112
0.0060,0.5679,0.148422,0.198529,0.301421,0.000000
0.0060,0.5786,0.142338,0.205238,0.293712,0.000126
0.0060,0.5893,0.151857,0.193427,0.304023,0.004343
0.0060,0.6000,0.155949,0.190821,0.313629,0.000424
0.0120,0.0000,0.004843,0.481844,0.020856,0.460989
0.0120,0.0107,0.009108,0.462657,0.035693,0.426964
0.0120,0.0214,0.012098,0.448759,0.044791,0.403968
0.0120,0.0321,0.015148,0.440549,0.053501,0.387048
0.0120,0.0429,0.015939,0.443167,0.057333,0.385834
0.0120,0.0536,0.017779,0.438077,0.062773,0.375304
0.0120,0.0643,0.022494,0.423722,0.075878,0.347844
0.0120,0.0750,0.023963,0.422615,0.080535,0.342080
0.0120,0.0857,0.027500,0.410176,0.088374,0.321802
0.0120,0.0964,0.033558,0.392452,0.104198,0.288255
0.0120,0.1071,0.035563,0.389283,0.108917,0.280366
0.0120,0.1179,0.032535,0.396313,0.101237,0.295076
0.0120,0.1286,0.038641,0.382587,0.116313,0.266273
0.0120,0.1393,0.041210,0.377825,0.121375,0.256449
0.0120,0.1500,0.043521,0.373285,0.128565,0.244719
0.0120,0.1607,0.048819,0.359683,0.138767,0.220916
0.0120,0.1714,0.044918,0.369545,0.130455,0.239090
0.0120,0.1821,0.052398,0.349943,0.145407,0.204536
0.0120,0.1929,0.052586,0.348273,0.145527,0.202747
0.0120,0.2036,0.058248,0.341738,0.159562,0.182176
0.0120,0.2143,0.059957,0.341421,0.165129,0.176292
0.0120,0.2250,0.060204,0.335508,0.161742,0.173766
0.0120,0.2357,0.061728,0.333678,0.165422,0.168255
0.0120,0.2464,0.064689,0.331277,0.172473,0.158804
0.0120,0.2571,0.069664,0.315767,0.180383,0.135393
0.0120,0.2679,0.070178,0.320287,0.183963,0.136324
0.0120,0.2786,0.077515,0.301636,0.194514,0.107121
0.0120,0.2893,0.079639,0.298497,0.197553,0.101293
0.0120,0.3000,0.078579,0.301395,0.195905,0.106050
0.0120,0.3107,0.078171,0.303391,0.195709,0.108750
0.0120,0.3214,0.085968,0.285538,0.207462,0.078954
0.0120,0.3321,0.088634,0.285679,0.214571,0.073310
0.0120,0.3429,0.086607,0.289518,0.212532,0.077741
0.0120,0.3536,0.096304,0.273667,0.228083,0.052543
0.0120,0.3643,0.092286,0.282724,0.222226,0.066562
0.0120,0.3750,0.099551,0.268875,0.233725,0.044596
0.0120,0.3857,0.097923,0.269440,0.229210,0.048552
0.0120,0.3964,0.102553,0.260010,0.234040,0.040087
0.0120,0.4071,0.103631,0.262160,0.238590,0.041809
0.0120,0.4179,0.112345,0.250625,0.255475,0.019780
0.0120,0.4286,0.115730,0.242358,0.256742,0.017399
0.0120,0.4393,0.111435,0.246304,0.248146,0.023724
0.0120,0.4500,0.116991,0.243370,0.261980,0.015001
0.0120,0.4607,0.125806,0.231978,0.274772,0.011013
0.0120,0.4714,0.124745,0.228131,0.267419,0.008780
0.0120,0.4821,0.126668,0.228811,0.275189,0.004690
0.0120,0.4929,0.127803,0.222866,0.271884,0.003256
0.0120,0.5036,0.134615,0.213771,0.279279,0.002952
0.0120,0.5143,0.131486,0.222749,0.280951,0.008650
0.0120,0.5250,0.141668,0.206964,0.291636,0.003745
0.0120,0.5357,0.132769,0.219481,0.281419,0.005846
0.0120,0.5464,0.144103,0.204049,0.296301,0.000781
0.0120,0.5571,0.143589,0.204893,0.294757,0.002596
0.0120,0.5679,0.144115,0.201189,0.293011,0.000157
0.0120,0.5786,0.153172,0.195436,0.311814,0.001086
0.0120,0.5893,0.152412,0.192994,0.305656,0.000000
0.0120,0.6000,0.154128,0.190687,0.308413,0.000353
0.0180,0.0000,0.007954,0.469257,0.031793,0.437464
0.0180,0.0107,0.010618,0.462479,0.040771,0.421708
0.0180,0.0214,0.017386,0.440563,0.062687,0.377876
0.0180,0.0321,0.017226,0.439737,0.060663,0.379074
0.0180,0.0429,0.019446,0.425307,0.067243,0.358063
0.0180,0.0536,0.022865,0.425386,0.077764,0.347622
0.0180,0.0643,0.026776,0.413235,0.087765,0.325470
0.0180,0.0750,0.027078,0.409904,0.088146,0.321758
0.0180,0.0857,0.030752,0.400964,0.096586,0.304378
0.0180,0.0964,0.031849,0.394551,0.098649,0.295903
0.0180,0.1071,0.036269,0.385364,0.109686,0.275678
0.0180,0.1179,0.036603,0.387573,0.111577,0.275997
0.0180,0.1286,0.039525,0.382760,0.119240,0.263521
0.0180,0.1393,0.043464,0.372786,0.127914,0.244872
0.0180,0.1500,0.045936,0.366053,0.132697,0.233357
0.0180,0.1607,0.048292,0.363157,0.138343,0.224814
0.0180,0.1714,0.049361,0.360078,0.139522,0.220556
0.0180,0.1821,0.056769,0.350592,0.158058,0.192534
0.0180,0.1929,0.053866,0.353276,0.151774,0.201503
0.0180,0.2036,0.058568,0.338031,0.157969,0.180062
0.0180,0.2143,0.065730,0.323938,0.172212,0.151725
0.0180,0.2250,0.066464,0.326117,0.174783,0.151335
0.0180,0.2357,0.067034,0.322704,0.175646,0.147059
0.0180,0.2464,0.065811,0.326461,0.172439,0.154023
