noise_strength,eve_rate,qber_mean
0.0080,0.1575,0.077497
0.0080,0.1650,0.083011
0.0080,0.1725,0.096270
0.0080,0.1800,0.099390
0.0080,0.1875,0.092582
0.0080,0.1950,0.116383
0.0080,0.2025,0.104811
0.0080,0.2100,0.117758
0.0080,0.2175,0.114808
0.0080,0.2250,0.111446
0.0080,0.2325,0.118795
0.0080,0.2400,0.136529
0.0080,0.2475,0.132783
0.0080,0.2550,0.133927
0.0080,0.2625,0.146316
0.0080,0.2700,0.140301
0.0080,0.2775,0.144786
0.0080,0.2850,0.158277
0.0080,0.2925,0.154262
0.0080,0.3000,0.152109
0.0100,0.0000,0.011069
0.0100,0.0075,0.011127
0.0100,0.0150,0.020014
0.0100,0.0225,0.014910
0.0100,0.0300,0.026899
0.0100,0.0375,0.031301
0.0100,0.0450,0.029433
0.0100,0.0525,0.036677
0.0100,0.0600,0.031510
0.0100,0.0675,0.036324
0.0100,0.0750,0.045832
0.0100,0.0825,0.044112
0.0100,0.0900,0.055808
0.0100,0.0975,0.056938
0.0100,0.1050,0.053164
0.0100,0.1125,0.064743
0.0100,0.1200,0.065068
0.0100,0.1275,0.071668
0.0100,0.1350,0.075218
0.0100,0.1425,0.078193
0.0100,0.1500,0.078014
0.0100,0.1575,0.085333
0.0100,0.1650,0.096307
0.0100,0.1725,0.088856
0.0100,0.1800,0.102116
0.0100,0.1875,0.095575
0.0100,0.1950,0.107273
0.0100,0.2025,0.111530
0.0100,0.2100,0.119986
0.0100,0.2175,0.125523
0.0100,0.2250,0.127805
0.0100,0.2325,0.122839
0.0100,0.2400,0.116813
0.0100,0.2475,0.120227
0.0100,0.2550,0.133744
0.0100,0.2625,0.137919
0.0100,0.2700,0.134591
0.0100,0.2775,0.139104
0.0100,0.2850,0.132927
0.0100,0.2925,0.168696
0.0100,0.3000,0.159029
0.0120,0.0000,0.012952
0.0120,0.0075,0.016275
0.0120,0.0150,0.020872
0.0120,0.0225,0.031223
0.0120,0.0300,0.024704
0.0120,0.0375,0.031958
0.0120,0.0450,0.034856
0.0120,0.0525,0.038970
0.0120,0.0600,0.036591
0.0120,0.0675,0.045964
0.0120,0.0750,0.048850
0.0120,0.0825,0.049477
0.0120,0.0900,0.052188
0.0120,0.0975,0.056499
0.0120,0.1050,0.057841
0.0120,0.1125,0.057998
0.0120,0.1200,0.077542
0.0120,0.1275,0.067569
0.0120,0.1350,0.082268
0.0120,0.1425,0.080424
0.0120,0.1500,0.082086
0.0120,0.1575,0.098804
0.0120,0.1650,0.098555
0.0120,0.1725,0.091395
0.0120,0.1800,0.101067
0.0120,0.1875,0.098647
0.0120,0.1950,0.105316
0.0120,0.2025,0.116965
0.0120,0.2100,0.123069
0.0120,0.2175,0.112789
0.0120,0.2250,0.122816
0.0120,0.2325,0.118111
0.0120,0.2400,0.119577
0.0120,0.2475,0.134571
0.0120,0.2550,0.141132
0.0120,0.2625,0.131256
0.0120,0.2700,0.154696
0.0120,0.2775,0.142585
0.0120,0.2850,0.141878
0.0120,0.2925,0.153311
0.0120,0.3000,0.161528
0.0140,0.0000,0.012575
0.0140,0.0075,0.022745
0.0140,0.0150,0.018079
0.0140,0.0225,0.024296
0.0140,0.0300,0.031607
0.0140,0.0375,0.025887
0.0140,0.0450,0.038628
0.0140,0.0525,0.035752
0.0140,0.0600,0.041617
0.0140,0.0675,0.046339
0.0140,0.0750,0.045727
0.0140,0.0825,0.060414
0.0140,0.0900,0.056177
0.0140,0.0975,0.062869
0.0140,0.1050,0.069030
0.0140,0.1125,0.066333
0.0140,0.1200,0.074428
0.0140,0.1275,0.076355
0.0140,0.1350,0.082542
0.0140,0.1425,0.077473
0.0140,0.1500,0.084027
0.0140,0.1575,0.095247
0.0140,0.1650,0.096891
0.0140,0.1725,0.093133
0.0140,0.1800,0.097742
0.0140,0.1875,0.100757
0.0140,0.1950,0.112356
0.0140,0.2025,0.111978
0.0140,0.2100,0.114923
0.0140,0.2175,0.121929
0.0140,0.2250,0.117198
0.0140,0.2325,0.128898
0.0140,0.2400,0.129610
0.0140,0.2475,0.141906
0.0140,0.2550,0.147598
0.0140,0.2625,0.142754
0.0140,0.2700,0.154245
0.0140,0.2775,0.151574
0.0140,0.2850,0.162660
0.0140,0.2925,0.160059
0.0140,0.3000,0.173161
0.0160,0.0000,0.011583
0.0160,0.0075,0.017610
0.0160,0.0150,0.019347
0.0160,0.0225,0.024157
0.0160,0.0300,0.031512
0.0160,0.0375,0.028279
0.0160,0.0450,0.039810
0.0160,0.0525,0.048302
0.0160,0.0600,0.043601
0.0160,0.0675,0.042440
0.0160,0.0750,0.048913
0.0160,0.0825,0.059039
0.0160,0.0900,0.063333
0.0160,0.0975,0.064565
0.0160,0.1050,0.069591
0.0160,0.1125,0.062328
0.0160,0.1200,0.065615
0.0160,0.1275,0.075522
0.0160,0.1350,0.086755
0.0160,0.1425,0.090564
0.0160,0.1500,0.093056
0.0160,0.1575,0.081869
0.0160,0.1650,0.099360
0.0160,0.1725,0.091211
0.0160,0.1800,0.099720
0.0160,0.1875,0.107188
0.0160,0.1950,0.109496
0.0160,0.2025,0.116402
0.0160,0.2100,0.114360
0.0160,0.2175,0.124943
0.0160,0.2250,0.121899
0.0160,0.2325,0.124608
0.0160,0.2400,0.134019
0.0160,0.2475,0.144072
0.0160,0.2550,0.136511
0.0160,0.2625,0.155930
0.0160,0.2700,0.147278
0.0160,0.2775,0.154056
0.0160,0.2850,0.161804
0.0160,0.2925,0.172088
0.0160,0.3000,0.150219
0.0180,0.0000,0.016939
0.0180,0.0075,0.019830
0.0180,0.0150,0.023968
0.0180,0.0225,0.029870
0.0180,0.0300,0.029540
0.0180,0.0375,0.025133
0.0180,0.0450,0.039291
0.0180,0.0525,0.044591
0.0180,0.0600,0.053322
0.0180,0.0675,0.052840
0.0180,0.0750,0.059814
0.0180,0.0825,0.055621
0.0180,0.0900,0.055577
0.0180,0.0975,0.055929
0.0180,0.1050,0.071722
0.0180,0.1125,0.067861
0.0180,0.1200,0.067407
0.0180,0.1275,0.076418
0.0180,0.1350,0.076018
0.0180,0.1425,0.080381
0.0180,0.1500,0.090637
0.0180,0.1575,0.098688
0.0180,0.1650,0.095888
0.0180,0.1725,0.090024
0.0180,0.1800,0.101146
0.0180,0.1875,0.108794
0.0180,0.1950,0.108595
0.0180,0.2025,0.116383
0.0180,0.2100,0.119287
0.0180,0.2175,0.119049
0.0180,0.2250,0.130106
0.0180,0.2325,0.137570
0.0180,0.2400,0.142320
0.0180,0.2475,0.145504
0.0180,0.2550,0.145487
0.0180,0.2625,0.138289
0.0180,0.2700,0.144541
0.0180,0.2775,0.147318
0.0180,0.2850,0.142801
0.0180,0.2925,0.164930
0.0180,0.3000,0.163052
0.0200,0.0000,0.022676
0.0200,0.0075,0.021829
0.0200,0.0150,0.024888
0.0200,0.0225,0.025771
0.0200,0.0300,0.034766
0.0200,0.0375,0.033260
0.0200,0.0450,0.039105
0.0200,0.0525,0.040438
0.0200,0.0600,0.049289
0.0200,0.0675,0.050509
0.0200,0.0750,0.052710
0.0200,0.0825,0.058660
0.0200,0.0900,0.068302
