noise_strength,eve_rate,qber_mean
0.0000,0.0000,0.000000
0.0000,0.0075,0.003473
0.0000,0.0150,0.009686
0.0000,0.0225,0.009292
0.0000,0.0300,0.013075
0.0000,0.0375,0.022040
0.0000,0.0450,0.020739
0.0000,0.0525,0.028468
0.0000,0.0600,0.029979
0.0000,0.0675,0.035180
0.0000,0.0750,0.040657
0.0000,0.0825,0.038412
0.0000,0.0900,0.042559
0.0000,0.0975,0.051224
0.0000,0.1050,0.053984
0.0000,0.1125,0.056358
0.0000,0.1200,0.051576
0.0000,0.1275,0.064533
0.0000,0.1350,0.065163
0.0000,0.1425,0.068234
0.0000,0.1500,0.077403
0.0000,0.1575,0.080875
0.0000,0.1650,0.076424
0.0000,0.1725,0.090245
0.0000,0.1800,0.081232
0.0000,0.1875,0.089211
0.0000,0.1950,0.106399
0.0000,0.2025,0.099307
0.0000,0.2100,0.113893
0.0000,0.2175,0.113360
0.0000,0.2250,0.125866
0.0000,0.2325,0.119912
0.0000,0.2400,0.121290
0.0000,0.2475,0.135293
0.0000,0.2550,0.130224
0.0000,0.2625,0.139630
0.0000,0.2700,0.140350
0.0000,0.2775,0.142257
0.0000,0.2850,0.155706
0.0000,0.2925,0.149655
0.0000,0.3000,0.166025
0.0050,0.0000,0.004339
0.0050,0.0075,0.008215
0.0050,0.0150,0.010756
0.0050,0.0225,0.012597
0.0050,0.0300,0.020069
0.0050,0.0375,0.024220
0.0050,0.0450,0.025917
0.0050,0.0525,0.021039
0.0050,0.0600,0.031952
0.0050,0.0675,0.037902
0.0050,0.0750,0.042537
0.0050,0.0825,0.041611
0.0050,0.0900,0.048719
0.0050,0.0975,0.053645
0.0050,0.1050,0.059524
0.0050,0.1125,0.064921
0.0050,0.1200,0.064514
0.0050,0.1275,0.063786
0.0050,0.1350,0.078247
0.0050,0.1425,0.071086
0.0050,0.1500,0.079142
0.0050,0.1575,0.084824
0.0050,0.1650,0.091634
0.0050,0.1725,0.099716
0.0050,0.1800,0.092542
0.0050,0.1875,0.108126
0.0050,0.1950,0.090034
0.0050,0.2025,0.103012
0.0050,0.2100,0.103529
0.0050,0.2175,0.110078
0.0050,0.2250,0.124836
0.0050,0.2325,0.120309
0.0050,0.2400,0.131261
0.0050,0.2475,0.126705
0.0050,0.2550,0.127884
0.0050,0.2625,0.136295
0.0050,0.2700,0.136728
0.0050,0.2775,0.136459
0.0050,0.2850,0.131516
0.0050,0.2925,0.143329
0.0050,0.3000,0.161338
0.0100,0.0000,0.009041
0.0100,0.0075,0.016697
0.0100,0.0150,0.019505
0.0100,0.0225,0.022811
0.0100,0.0300,0.024547
0.0100,0.0375,0.028759
0.0100,0.0450,0.033449
0.0100,0.0525,0.037384
0.0100,0.0600,0.042003
0.0100,0.0675,0.050718
0.0100,0.0750,0.049670
0.0100,0.0825,0.053887
0.0100,0.0900,0.051971
0.0100,0.0975,0.054157
0.0100,0.1050,0.057871
0.0100,0.1125,0.067649
0.0100,0.1200,0.071149
0.0100,0.1275,0.077896
0.0100,0.1350,0.078626
0.0100,0.1425,0.085389
0.0100,0.1500,0.083087
0.0100,0.1575,0.089602
0.0100,0.1650,0.084446
0.0100,0.1725,0.090462
0.0100,0.1800,0.097024
0.0100,0.1875,0.109520
0.0100,0.1950,0.095719
0.0100,0.2025,0.109340
0.0100,0.2100,0.114844
0.0100,0.2175,0.124023
0.0100,0.2250,0.114542
0.0100,0.2325,0.117713
0.0100,0.2400,0.121813
0.0100,0.2475,0.135061
0.0100,0.2550,0.140270
0.0100,0.2625,0.138982
0.0100,0.2700,0.133097
0.0100,0.2775,0.141732
0.0100,0.2850,0.141036
0.0100,0.2925,0.154689
0.0100,0.3000,0.156504
0.0150,0.0000,0.012206
0.0150,0.0075,0.021311
0.0150,0.0150,0.021112
0.0150,0.0225,0.021896
0.0150,0.0300,0.029686
0.0150,0.0375,0.032935
0.0150,0.0450,0.033105
0.0150,0.0525,0.040624
0.0150,0.0600,0.048645
0.0150,0.0675,0.041933
0.0150,0.0750,0.055062
0.0150,0.0825,0.056731
0.0150,0.0900,0.060861
0.0150,0.0975,0.048901
0.0150,0.1050,0.069658
0.0150,0.1125,0.068955
0.0150,0.1200,0.079669
0.0150,0.1275,0.083296
0.0150,0.1350,0.073992
0.0150,0.1425,0.086153
0.0150,0.1500,0.087743
0.0150,0.1575,0.090883
0.0150,0.1650,0.097766
0.0150,0.1725,0.093291
0.0150,0.1800,0.115196
0.0150,0.1875,0.102583
0.0150,0.1950,0.116697
0.0150,0.2025,0.114620
0.0150,0.2100,0.107037
0.0150,0.2175,0.108263
0.0150,0.2250,0.130375
0.0150,0.2325,0.128447
0.0150,0.2400,0.130131
0.0150,0.2475,0.130303
0.0150,0.2550,0.131586
0.0150,0.2625,0.154346
0.0150,0.2700,0.145727
0.0150,0.2775,0.155216
0.0150,0.2850,0.145940
0.0150,0.2925,0.164150
0.0150,0.3000,0.155539
0.0200,0.0000,0.016832
0.0200,0.0075,0.021775
0.0200,0.0150,0.032697
0.0200,0.0225,0.031601
0.0200,0.0300,0.030605
0.0200,0.0375,0.033704
0.0200,0.0450,0.045831
0.0200,0.0525,0.039370
0.0200,0.0600,0.051530
0.0200,0.0675,0.054950
0.0200,0.0750,0.066304
0.0200,0.0825,0.053708
0.0200,0.0900,0.063789
0.0200,0.0975,0.070111
0.0200,0.1050,0.068249
0.0200,0.1125,0.079671
0.0200,0.1200,0.080079
0.0200,0.1275,0.092094
0.0200,0.1350,0.092269
0.0200,0.1425,0.091051
0.0200,0.1500,0.097675
0.0200,0.1575,0.094870
0.0200,0.1650,0.107338
0.0200,0.1725,0.111775
0.0200,0.1800,0.100398
0.0200,0.1875,0.100896
0.0200,0.1950,0.112114
0.0200,0.2025,0.107537
0.0200,0.2100,0.118260
0.0200,0.2175,0.128925
0.0200,0.2250,0.117401
0.0200,0.2325,0.138143
0.0200,0.2400,0.138825
0.0200,0.2475,0.147533
0.0200,0.2550,0.149116
0.0200,0.2625,0.146395
0.0200,0.2700,0.158515
0.0200,0.2775,0.154499
0.0200,0.2850,0.160569
0.0200,0.2925,0.158191
0.0200,0.3000,0.156950
0.0250,0.0000,0.029842
0.0250,0.0075,0.023614
0.0250,0.0150,0.023717
0.0250,0.0225,0.033916
0.0250,0.0300,0.045526
0.0250,0.0375,0.040652
0.0250,0.0450,0.045349
0.0250,0.0525,0.045933
0.0250,0.0600,0.048894
0.0250,0.0675,0.051434
0.0250,0.0750,0.061961
0.0250,0.0825,0.063663
0.0250,0.0900,0.062232
0.0250,0.0975,0.067804
0.0250,0.1050,0.074957
0.0250,0.1125,0.070930
0.0250,0.1200,0.080891
0.0250,0.1275,0.080906
0.0250,0.1350,0.087440
0.0250,0.1425,0.090964
0.0250,0.1500,0.102122
0.0250,0.1575,0.090656
0.0250,0.1650,0.102008
0.0250,0.1725,0.118990
0.0250,0.1800,0.117196
0.0250,0.1875,0.120243
0.0250,0.1950,0.121202
0.0250,0.2025,0.122802
0.0250,0.2100,0.132847
0.0250,0.2175,0.118988
0.0250,0.2250,0.128247
0.0250,0.2325,0.135790
0.0250,0.2400,0.135721
0.0250,0.2475,0.138908
0.0250,0.2550,0.144921
0.0250,0.2625,0.144287
0.0250,0.2700,0.154371
0.0250,0.2775,0.162829
0.0250,0.2850,0.154304
0.0250,0.2925,0.172629
0.0250,0.3000,0.180830
0.0300,0.0000,0.029419
0.0300,0.0075,0.033178
0.0300,0.0150,0.031888
0.0300,0.0225,0.037898
0.0300,0.0300,0.043671
0.0300,0.0375,0.053145
0.0300,0.0450,0.041791
0.0300,0.0525,0.053185
0.0300,0.0600,0.054156
0.0300,0.0675,0.055414
0.0300,0.0750,0.061214
0.0300,0.0825,0.070351
0.0300,0.0900,0.081293
0.0300,0.0975,0.072488
0.0300,0.1050,0.079973
0.0300,0.1125,0.083875
0.0300,0.1200,0.082055
0.0300,0.1275,0.092932
0.0300,0.1350,0.084908
0.0300,0.1425,0.097506
0.0300,0.1500,0.098881
0.0300,0.1575,0.097075
0.0300,0.1650,0.114022
0.0300,0.1725,0.123443
0.0300,0.1800,0.124062
0.0300,0.1875,0.127582
0.0300,0.1950,0.124057
0.0300,0.2025,0.128682
0.0300,0.2100,0.134365
0.0300,0.2175,0.135023
0.0300,0.2250,0.132898
0.0300,0.2325,0.141820
0.0300,0.2400,0.145278
0.0300,0.2475,0.147368
0.0300,0.2550,0.141491
0.0300,0.2625,0.148339
0.0300,0.2700,0.155191
0.0300,0.2775,0.159748
0.0300,0.2850,0.145898
0.0300,0.2925,0.175166
0.0300,0.3000,0.172017
0.0350,0.0000,0.031608
0.0350,0.0075,0.044151
0.0350,0.0150,0.038872
0.0350,0.0225,0.042018
0.0350,0.0300,0.046795
0.0350,0.0375,0.043192
0.0350,0.0450,0.056089
0.0350,0.0525,0.051519
0.0350,0.0600,0.059450
0.0350,0.0675,0.064030
0.0350,0.0750,0.068377
0.0350,0.0825,0.079851
0.0350,0.0900,0.075998
0.0350,0.0975,0.079660
0.0350,0.1050,0.087580
0.0350,0.1125,0.083510
0.0350,0.1200,0.080195
0.0350,0.1275,0.092936
0.0350,0.1350,0.086706
0.0350,0.1425,0.090295
0.0350,0.1500,0.099358
0.0350,0.1575,0.095430
0.0350,0.1650,0.118543
0.0350,0.1725,0.114600
0.0350,0.1800,0.117726
0.0350,0.1875,0.123783
0.0350,0.1950,0.132598
0.0350,0.2025,0.127864
0.0350,0.2100,0.128657
0.0350,0.2175,0.146000
0.0350,0.2250,0.142240
0.0350,0.2325,0.141676
0.0350,0.2400,0.139893
0.0350,0.2475,0.149966
0.0350,0.2550,0.153641
0.0350,0.2625,0.162668
0.0350,0.2700,0.154076
0.0350,0.2775,0.168879
0.0350,0.2850,0.173549
0.0350,0.2925,0.165743
0.0350,0.3000,0.170100
0.0400,0.0000,0.037806
0.0400,0.0075,0.046659
0.0400,0.0150,0.048589
0.0400,0.0225,0.049094
0.0400,0.0300,0.051525
0.0400,0.0375,0.060963
0.0400,0.0450,0.060913
0.0400,0.0525,0.068874
0.0400,0.0600,0.063888
0.0400,0.0675,0.073684
0.0400,0.0750,0.071445
0.0400,0.0825,0.071069
0.0400,0.0900,0.079551
0.0400,0.0975,0.082565
0.0400,0.1050,0.079981
0.0400,0.1125,0.086911
0.0400,0.1200,0.089362
0.0400,0.1275,0.103003
0.0400,0.1350,0.092582
0.0400,0.1425,0.102020
0.0400,0.1500,0.115523
0.0400,0.1575,0.117167
0.0400,0.1650,0.121079
0.0400,0.1725,0.105768
0.0400,0.1800,0.112858
0.0400,0.1875,0.116512
0.0400,0.1950,0.125800
0.0400,0.2025,0.130307
0.0400,0.2100,0.151280
0.0400,0.2175,0.136064
0.0400,0.2250,0.145671
0.0400,0.2325,0.145108
0.0400,0.2400,0.147070
0.0400,0.2475,0.146422
0.0400,0.2550,0.157717
0.0400,0.2625,0.154277
0.0400,0.2700,0.164156
0.0400,0.2775,0.168368
0.0400,0.2850,0.168958
0.0400,0.2925,0.165751
0.0400,0.3000,0.190601
0.0450,0.0000,0.039780
0.0450,0.0075,0.047708
0.0450,0.0150,0.052884
0.0450,0.0225,0.048324
0.0450,0.0300,0.056643
0.0450,0.0375,0.058841
0.0450,0.0450,0.069952
0.0450,0.0525,0.062697
0.0450,0.0600,0.067886
0.0450,0.0675,0.070033
0.0450,0.0750,0.081481
0.0450,0.0825,0.077556
0.0450,0.0900,0.077291
0.0450,0.0975,0.082770
0.0450,0.1050,0.100266
0.0450,0.1125,0.090270
0.0450,0.1200,0.096212
0.0450,0.1275,0.099349
0.0450,0.1350,0.105446
0.0450,0.1425,0.102032
0.0450,0.1500,0.118789
0.0450,0.1575,0.108080
0.0450,0.1650,0.117653
0.0450,0.1725,0.117349
0.0450,0.1800,0.125770
0.0450,0.1875,0.130677
0.0450,0.1950,0.130566
0.0450,0.2025,0.139108
0.0450,0.2100,0.136315
0.0450,0.2175,0.128298
0.0450,0.2250,0.134918
0.0450,0.2325,0.141820
0.0450,0.2400,0.173162
0.0450,0.2475,0.151626
0.0450,0.2550,0.158412
0.0450,0.2625,0.177769
0.0450,0.2700,0.160366
0.0450,0.2775,0.165730
0.0450,0.2850,0.165661
0.0450,0.2925,0.167533
0.0450,0.3000,0.192112
0.0500,0.0000,0.045720
0.0500,0.0075,0.057002
0.0500,0.0150,0.048026
0.0500,0.0225,0.058348
0.0500,0.0300,0.058281
0.0500,0.0375,0.063061
0.0500,0.0450,0.059806
0.0500,0.0525,0.069895
0.0500,0.0600,0.068476
0.0500,0.0675,0.082604
0.0500,0.0750,0.093808
0.0500,0.0825,0.072705
0.0500,0.0900,0.103348
0.0500,0.0975,0.093117
0.0500,0.1050,0.098984
0.0500,0.1125,0.107348
0.0500,0.1200,0.109035
0.0500,0.1275,0.091691
0.0500,0.1350,0.108237
0.0500,0.1425,0.111569
0.0500,0.1500,0.117575
0.0500,0.1575,0.120211
0.0500,0.1650,0.114580
0.0500,0.1725,0.121220
0.0500,0.1800,0.131780
0.0500,0.1875,0.137499
0.0500,0.1950,0.126518
0.0500,0.2025,0.146472
0.0500,0.2100,0.155607
0.0500,0.2175,0.149047
0.0500,0.2250,0.145958
0.0500,0.2325,0.157558
0.0500,0.2400,0.154132
0.0500,0.2475,0.160813
0.0500,0.2550,0.170756
0.0500,0.2625,0.170815
0.0500,0.2700,0.161595
0.0500,0.2775,0.159809
0.0500,0.2850,0.179429
0.0500,0.2925,0.166893
0.0500,0.3000,0.175731
0.0550,0.0000,0.047886
0.0550,0.0075,0.055918
0.0550,0.0150,0.057980
0.0550,0.0225,0.061599
0.0550,0.0300,0.069735
0.0550,0.0375,0.071908
0.0550,0.0450,0.065511
0.0550,0.0525,0.070483
0.0550,0.0600,0.077573
0.0550,0.0675,0.077750
0.0550,0.0750,0.083241
0.0550,0.0825,0.093833
0.0550,0.0900,0.097907
0.0550,0.0975,0.105238
0.0550,0.1050,0.100481
0.0550,0.1125,0.101156
0.0550,0.1200,0.108036
0.0550,0.1275,0.111821
0.0550,0.1350,0.109557
0.0550,0.1425,0.101887
0.0550,0.1500,0.119561
0.0550,0.1575,0.126980
0.0550,0.1650,0.127749
0.0550,0.1725,0.117937
0.0550,0.1800,0.130945
0.0550,0.1875,0.126645
0.0550,0.1950,0.132104
0.0550,0.2025,0.138324
0.0550,0.2100,0.147278
0.0550,0.2175,0.142993
0.0550,0.2250,0.148759
0.0550,0.2325,0.158919
0.0550,0.2400,0.153938
0.0550,0.2475,0.156058
0.0550,0.2550,0.158933
0.0550,0.2625,0.172360
0.0550,0.2700,0.172450
0.0550,0.2775,0.179552
0.0550,0.2850,0.187965
0.0550,0.2925,0.183801
0.0550,0.3000,0.200147
0.0600,0.0000,0.064033
0.0600,0.0075,0.057360
0.0600,0.0150,0.068322
0.0600,0.0225,0.064717
0.0600,0.0300,0.075167
0.0600,0.0375,0.072774
0.0600,0.0450,0.074648
0.0600,0.0525,0.081633
0.0600,0.0600,0.081060
0.0600,0.0675,0.079076
0.0600,0.0750,0.093022
0.0600,0.0825,0.092817
0.0600,0.0900,0.090979
0.0600,0.0975,0.088461
0.0600,0.1050,0.101930
0.0600,0.1125,0.099390
0.0600,0.1200,0.107276
0.0600,0.1275,0.107669
0.0600,0.1350,0.117946
0.0600,0.1425,0.115124
0.0600,0.1500,0.125523
0.0600,0.1575,0.124151
0.0600,0.1650,0.130210
0.0600,0.1725,0.134124
0.0600,0.1800,0.137267
0.0600,0.1875,0.144074
0.0600,0.1950,0.150057
0.0600,0.2025,0.145350
0.0600,0.2100,0.150888
0.0600,0.2175,0.148267
0.0600,0.2250,0.153757
0.0600,0.2325,0.166822
0.0600,0.2400,0.167342
0.0600,0.2475,0.161351
0.0600,0.2550,0.171418
0.0600,0.2625,0.172990
0.0600,0.2700,0.172680
0.0600,0.2775,0.174479
0.0600,0.2850,0.183088
0.0600,0.2925,0.187508
0.0600,0.3000,0.175002
0.0650,0.0000,0.061075
0.0650,0.0075,0.057757
0.0650,0.0150,0.062546
0.0650,0.0225,0.075022
0.0650,0.0300,0.065438
0.0650,0.0375,0.079449
0.0650,0.0450,0.074291
0.0650,0.0525,0.079601
0.0650,0.0600,0.086310
0.0650,0.0675,0.091781
0.0650,0.0750,0.093792
0.0650,0.0825,0.097833
0.0650,0.0900,0.084821
0.0650,0.0975,0.099449
0.0650,0.1050,0.107329
0.0650,0.1125,0.113629
0.0650,0.1200,0.114447
0.0650,0.1275,0.109597
0.0650,0.1350,0.108667
0.0650,0.1425,0.147464
0.0650,0.1500,0.141400
0.0650,0.1575,0.120344
0.0650,0.1650,0.126646
0.0650,0.1725,0.144977
0.0650,0.1800,0.148086
0.0650,0.1875,0.133852
0.0650,0.1950,0.141302
0.0650,0.2025,0.147870
0.0650,0.2100,0.146576
0.0650,0.2175,0.160567
0.0650,0.2250,0.161803
0.0650,0.2325,0.169277
0.0650,0.2400,0.171037
0.0650,0.2475,0.180318
0.0650,0.2550,0.176473
0.0650,0.2625,0.172647
0.0650,0.2700,0.178421
0.0650,0.2775,0.178438
0.0650,0.2850,0.186881
0.0650,0.2925,0.176041
0.0650,0.3000,0.186064
0.0700,0.0000,0.060135
0.0700,0.0075,0.061217
0.0700,0.0150,0.078137
0.0700,0.0225,0.073937
0.0700,0.0300,0.083060
0.0700,0.0375,0.081765
0.0700,0.0450,0.084285
0.0700,0.0525,0.083035
0.0700,0.0600,0.086363
0.0700,0.0675,0.111186
0.0700,0.0750,0.100881
0.0700,0.0825,0.103235
0.0700,0.0900,0.110333
0.0700,0.0975,0.113203
0.0700,0.1050,0.100672
0.0700,0.1125,0.114634
0.0700,0.1200,0.122726
0.0700,0.1275,0.123313
0.0700,0.1350,0.125871
0.0700,0.1425,0.129435
0.0700,0.1500,0.128530
0.0700,0.1575,0.134734
0.0700,0.1650,0.148270
0.0700,0.1725,0.139447
0.0700,0.1800,0.138632
0.0700,0.1875,0.150737
0.0700,0.1950,0.142622
0.0700,0.2025,0.163992
0.0700,0.2100,0.156601
0.0700,0.2175,0.158339
0.0700,0.2250,0.146785
0.0700,0.2325,0.161146
0.0700,0.2400,0.174585
0.0700,0.2475,0.172809
0.0700,0.2550,0.184474
0.0700,0.2625,0.186297
0.0700,0.2700,0.192408
0.0700,0.2775,0.188976
0.0700,0.2850,0.192719
