noise_strength,eve_rate,qber_mean
0.1600,0.8500,0.460650
0.1600,0.9000,0.457438
0.1600,0.9500,0.479223
0.1600,1.0000,0.510118
0.1800,0.0000,0.144302
0.1800,0.0500,0.158886
0.1800,0.1000,0.209560
0.1800,0.1500,0.206748
0.1800,0.2000,0.214246
0.1800,0.2500,0.243635
0.1800,0.3000,0.253353
0.1800,0.3500,0.281118
0.1800,0.4000,0.291719
0.1800,0.4500,0.323234
0.1800,0.5000,0.316764
0.1800,0.5500,0.336514
0.1800,0.6000,0.364554
0.1800,0.6500,0.394598
0.1800,0.7000,0.387791
0.1800,0.7500,0.408085
0.1800,0.8000,0.423871
0.1800,0.8500,0.446966
0.1800,0.9000,0.461235
0.1800,0.9500,0.486001
0.1800,1.0000,0.505989
0.2000,0.0000,0.161681
0.2000,0.0500,0.164831
0.2000,0.1000,0.197337
0.2000,0.1500,0.206712
0.2000,0.2000,0.235162
0.2000,0.2500,0.245648
0.2000,0.3000,0.264498
0.2000,0.3500,0.263870
0.2000,0.4000,0.298629
0.2000,0.4500,0.312519
0.2000,0.5000,0.332056
0.2000,0.5500,0.360000
0.2000,0.6000,0.339106
0.2000,0.6500,0.376704
0.2000,0.7000,0.400664
0.2000,0.7500,0.415844
0.2000,0.8000,0.434602
0.2000,0.8500,0.449681
0.2000,0.9000,0.459670
0.2000,0.9500,0.487534
0.2000,1.0000,0.492902
0.2200,0.0000,0.173541
0.2200,0.0500,0.190126
0.2200,0.1000,0.212135
0.2200,0.1500,0.223846
0.2200,0.2000,0.243302
0.2200,0.2500,0.256922
0.2200,0.3000,0.273632
0.2200,0.3500,0.308133
0.2200,0.4000,0.315888
0.2200,0.4500,0.323139
0.2200,0.5000,0.344620
0.2200,0.5500,0.334687
0.2200,0.6000,0.356401
0.2200,0.6500,0.398764
0.2200,0.7000,0.396835
0.2200,0.7500,0.422718
0.2200,0.8000,0.426295
0.2200,0.8500,0.447939
0.2200,0.9000,0.445633
0.2200,0.9500,0.472514
0.2200,1.0000,0.513063
0.2400,0.0000,0.193801
0.2400,0.0500,0.199263
0.2400,0.1000,0.233558
0.2400,0.1500,0.224046
0.2400,0.2000,0.254587
0.2400,0.2500,0.259181
0.2400,0.3000,0.286691
0.2400,0.3500,0.293042
0.2400,0.4000,0.313197
0.2400,0.4500,0.327693
0.2400,0.5000,0.356316
0.2400,0.5500,0.373620
0.2400,0.6000,0.375049
0.2400,0.6500,0.388237
0.2400,0.7000,0.384791
0.2400,0.7500,0.443925
0.2400,0.8000,0.443423
0.2400,0.8500,0.465123
0.2400,0.9000,0.463887
0.2400,0.9500,0.491983
0.2400,1.0000,0.508793
0.2600,0.0000,0.204630
0.2600,0.0500,0.217469
0.2600,0.1000,0.233175
0.2600,0.1500,0.266274
0.2600,0.2000,0.261800
0.2600,0.2500,0.298448
0.2600,0.3000,0.307379
