noise_strength,eve_rate,qber_mean
0.1600,0.8500,0.269925
0.1600,0.9000,0.259136
0.1600,0.9500,0.270496
0.1600,1.0000,0.303525
0.1800,0.0000,0.096062
0.1800,0.0500,0.096094
0.1800,0.1000,0.110533
0.1800,0.1500,0.119176
0.1800,0.2000,0.131583
0.1800,0.2500,0.141443
0.1800,0.3000,0.155637
0.1800,0.3500,0.154939
0.1800,0.4000,0.169324
0.1800,0.4500,0.181424
0.1800,0.5000,0.199512
0.1800,0.5500,0.210095
0.1800,0.6000,0.214795
0.1800,0.6500,0.216943
0.1800,0.7000,0.237158
0.1800,0.7500,0.246390
0.1800,0.8000,0.249344
0.1800,0.8500,0.261891
0.1800,0.9000,0.275399
0.1800,0.9500,0.287565
0.1800,1.0000,0.309263
0.2000,0.0000,0.099318
0.2000,0.0500,0.115777
0.2000,0.1000,0.124031
0.2000,0.1500,0.133801
0.2000,0.2000,0.138568
0.2000,0.2500,0.150209
0.2000,0.3000,0.171907
0.2000,0.3500,0.163233
0.2000,0.4000,0.187209
0.2000,0.4500,0.196278
0.2000,0.5000,0.200301
0.2000,0.5500,0.200541
0.2000,0.6000,0.222753
0.2000,0.6500,0.232184
0.2000,0.7000,0.233430
0.2000,0.7500,0.234883
0.2000,0.8000,0.263769
0.2000,0.8500,0.261109
0.2000,0.9000,0.277649
0.2000,0.9500,0.288180
0.2000,1.0000,0.301480
0.2200,0.0000,0.115768
0.2200,0.0500,0.124808
0.2200,0.1000,0.128554
0.2200,0.1500,0.133758
0.2200,0.2000,0.158366
0.2200,0.2500,0.156716
0.2200,0.3000,0.178775
0.2200,0.3500,0.172009
0.2200,0.4000,0.191849
0.2200,0.4500,0.201742
0.2200,0.5000,0.215000
0.2200,0.5500,0.222455
0.2200,0.6000,0.215765
0.2200,0.6500,0.245135
0.2200,0.7000,0.244336
0.2200,0.7500,0.246123
0.2200,0.8000,0.269699
0.2200,0.8500,0.281621
0.2200,0.9000,0.290734
0.2200,0.9500,0.302028
0.2200,1.0000,0.306635
0.2400,0.0000,0.118584
0.2400,0.0500,0.134514
0.2400,0.1000,0.141557
0.2400,0.1500,0.141198
0.2400,0.2000,0.162978
0.2400,0.2500,0.161347
0.2400,0.3000,0.182752
0.2400,0.3500,0.175755
0.2400,0.4000,0.200124
0.2400,0.4500,0.201043
