noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0000,0.0000,0.000000,0.251150,0.000000,0.251150
0.0000,0.0054,0.001808,0.248323,0.009112,0.239211
0.0000,0.0107,0.004831,0.239765,0.024168,0.215597
0.0000,0.0161,0.007996,0.235426,0.040214,0.195212
0.0000,0.0214,0.012671,0.222739,0.059872,0.162867
0.0000,0.0268,0.015100,0.223585,0.067169,0.156416
0.0000,0.0321,0.018363,0.216336,0.076186,0.140150
0.0000,0.0375,0.016859,0.219662,0.072573,0.147089
0.0000,0.0429,0.020585,0.216559,0.088718,0.127841
0.0000,0.0482,0.024070,0.211852,0.098483,0.113369
0.0000,0.0536,0.024986,0.211424,0.101370,0.110779
0.0000,0.0589,0.028186,0.202887,0.107531,0.095999
0.0000,0.0643,0.033179,0.202227,0.125924,0.078890
0.0000,0.0696,0.040167,0.193830,0.143928,0.052384
0.0000,0.0750,0.034244,0.199270,0.127009,0.074785
0.0000,0.0804,0.041389,0.187488,0.136979,0.059045
0.0000,0.0857,0.041129,0.191528,0.143718,0.050943
0.0000,0.0911,0.043463,0.183779,0.145573,0.043054
0.0000,0.0964,0.045640,0.183868,0.150325,0.042019
0.0000,0.1018,0.054785,0.175727,0.170312,0.022712
0.0000,0.1071,0.053503,0.176896,0.166474,0.026681
0.0000,0.1125,0.055961,0.173134,0.169529,0.022709
0.0000,0.1179,0.060337,0.172979,0.182468,0.017819
0.0000,0.1232,0.059336,0.171796,0.178217,0.019330
0.0000,0.1286,0.063596,0.166611,0.184509,0.011519
0.0000,0.1339,0.068872,0.161498,0.192397,0.007256
0.0000,0.1393,0.070548,0.160201,0.194686,0.008146
0.0000,0.1446,0.073946,0.154223,0.196456,0.006401
0.0000,0.1500,0.075132,0.152732,0.198210,0.004551
0.0000,0.1554,0.070525,0.156312,0.189576,0.009451
0.0000,0.1607,0.081382,0.150996,0.208004,0.004621
0.0000,0.1661,0.082075,0.150224,0.212652,0.001183
0.0000,0.1714,0.080843,0.148043,0.200719,0.007276
0.0000,0.1768,0.088797,0.144908,0.217603,0.001592
0.0000,0.1821,0.094415,0.137745,0.219855,0.001197
0.0000,0.1875,0.093198,0.141092,0.220520,0.001920
0.0000,0.1929,0.090273,0.141245,0.213631,0.002475
0.0000,0.1982,0.108739,0.127513,0.234224,0.000000
0.0000,0.2036,0.107745,0.125355,0.222030,0.001985
0.0000,0.2089,0.101471,0.133505,0.226973,0.000000
0.0000,0.2143,0.112315,0.121218,0.226385,0.000000
0.0000,0.2196,0.104830,0.130853,0.230638,0.000000
0.0000,0.2250,0.109118,0.126619,0.230222,0.000588
0.0000,0.2304,0.112882,0.125143,0.234450,0.000000
0.0000,0.2357,0.123147,0.117073,0.238321,0.000000
0.0000,0.2411,0.120607,0.118578,0.239575,0.000000
0.0000,0.2464,0.121321,0.118884,0.238388,0.000000
0.0000,0.2518,0.118994,0.121511,0.242468,0.000000
